mouraID;NOME;SEXO;PORTE;CAD PETZ ID;DATA DE NASCIMENTO;PESO;FOTO;UNIDADE PETZ;CIDADE;ESTADO;IDADE (MESES);FILHOTE;ENTRADA;PERMANÊNCIA;FAIXA ETARIA
4701666;Fagottini;FEMALE;Pequeno;7223122;2024-02-05;3.1;https://s3.amazonaws.com/petz-cdm-stg/a5dc9b85-5097-48a0-95fd-538093b6580f.jpeg;Petz Morumbi;SAO PAULO;SP;9;True;2024-10-19;1;FILHOTE
4699594;Florzinha ;FEMALE;Pequeno;7220455;2024-07-25;2.0;https://s3.amazonaws.com/petz-cdm-stg/3059bb2c-3530-497f-b419-bba7b437d6ee.jpeg;Petz Osasco;OSASCO;SP;3;True;2024-10-19;1;FILHOTE
4706032;Frida;FEMALE;Pequeno;7229315;2024-05-29;3.0;https://s3.amazonaws.com/petz-cdm-stg/0a22e631-bbe9-44d9-9c33-5fe3614f83db.jpeg;Petz Aracaju;ARACAJU;SE;5;True;2024-10-19;2;FILHOTE
4702560;GAYA;FEMALE;Pequeno;7224446;2023-10-10;3.0;https://s3.amazonaws.com/petz-cdm-stg/059acbf9-dc2d-4434-bc48-77b92954a910.jpeg;Petz Pacaembu;SAO PAULO;SP;12;False;2024-10-19;1;JUNIOR
4701625;Greice;FEMALE;Pequeno;7223071;2023-10-09;3.0;https://s3.amazonaws.com/petz-cdm-stg/e441a7e6-9069-4604-901e-f7a940203cec.jpeg;Petz Cerro Cora;SAO PAULO;SP;12;False;2024-10-19;1;JUNIOR
4701268;grey;MALE;Pequeno;7222651;2024-07-12;1.0;https://s3.amazonaws.com/petz-cdm-stg/025c1479-b046-4b31-b927-26873fa4bb26.jpeg;Petz Avenida das Americas;RIO DE JANEIRO;RJ;3;True;2024-10-19;2;FILHOTE
4516227;Heitor;MALE;Pequeno;6986811;2023-12-17;1.0;https://s3.amazonaws.com/petz-cdm-stg/c0257451-d871-4002-b91d-6c93655854fe.jpeg;Petz Betim;BETIM;MG;10;True;2024-10-19;2;FILHOTE
4701603;Imperatriz;FEMALE;Pequeno;7223046;2022-10-09;3.0;https://s3.amazonaws.com/petz-cdm-stg/faae28f5-7c47-4ee4-8add-153c49a228ac.jpeg;Petz Cerro Cora;SAO PAULO;SP;24;False;2024-10-19;2;ADULTO
4619948;Jabucatiba;FEMALE;Pequeno;7117533;2023-08-21;3.0;https://s3.amazonaws.com/petz-cdm-stg/3bcac912-fd74-4292-b0be-d091278e2b3b.jpeg;Petz Aldeota;FORTALEZA;CE;14;False;2024-10-19;2;JUNIOR
4701615;Jacinto;MALE;Pequeno;7223060;2023-06-01;3.0;https://s3.amazonaws.com/petz-cdm-stg/ded2e468-8c0b-4c7c-8164-80b3889998e9.jpeg;Petz Cerro Cora;SAO PAULO;SP;17;False;2024-10-19;3;JUNIOR
4706037;Joelma;FEMALE;Pequeno;7229321;2024-05-29;3.0;https://s3.amazonaws.com/petz-cdm-stg/9b3b56af-1f16-4368-8edf-3bdb486f8b82.jpeg;Petz Aracaju;ARACAJU;SE;5;True;2024-10-19;0;FILHOTE
4706784;juliano;MALE;Pequeno;7230240;2024-04-01;3.0;https://s3.amazonaws.com/petz-cdm-stg/d32d96d4-69ec-4b66-83ec-7c98b7f20924.jpeg;Petz Salvador Bonocô;SALVADOR;BA;7;True;2024-10-19;1;FILHOTE
4706430;LAURA;FEMALE;Pequeno;7229848;2023-09-13;3.0;https://s3.amazonaws.com/petz-cdm-stg/613768bd-e099-4b52-bc43-a95f70694cb9.jpeg;Petz Ricardo Jafet 24h;SAO PAULO;SP;13;False;2024-10-19;1;JUNIOR
