mouraID;NOME;SEXO;PORTE;CAD PETZ ID;DATA DE NASCIMENTO;PESO;FOTO;UNIDADE PETZ;CIDADE;ESTADO;IDADE (MESES);FILHOTE;ENTRADA;PERMANÊNCIA
4718550;Chico;MALE;Pequeno;7246458;2024-08-30;1.0;https://s3.amazonaws.com/petz-cdm-stg/856c2bbb-0cf2-467e-b9af-17149839d6ce.jpeg;Petz Bueno T63;GOIANIA;GO;2;True;2024-11-16;1
4725247;Citroen;FEMALE;Pequeno;7255864;2024-04-05;3.0;https://s3.amazonaws.com/petz-cdm-stg/cd33bad8-dc8e-4f3a-9f6d-8088786f48a5.jpeg;Petz Alto da Boa Vista;SAO PAULO;SP;7;True;2024-11-16;1
4634950;Clodovil;MALE;Pequeno;7136070;2024-01-20;3.0;https://s3.amazonaws.com/petz-cdm-stg/0a6b4d60-9dae-4d9b-84f0-c9da1f646fe4.jpeg;Petz Washington Luís;SAO PAULO;SP;9;True;2024-11-16;1
4726177;Cremogema;FEMALE;Pequeno;7257141;2024-08-08;1.0;https://s3.amazonaws.com/petz-cdm-stg/ac4368b0-fc2c-457d-9743-aff25b70d26b.jpeg;Petz Bandeirantes 24h;SAO PAULO;SP;3;True;2024-11-16;1
4732174;Curie;FEMALE;Pequeno;7264934;2023-08-31;3.0;https://s3.amazonaws.com/petz-cdm-stg/a5265d67-876b-4e15-b2d3-0a964942460d.jpeg;Petz Cerro Cora;SAO PAULO;SP;14;False;2024-11-16;1
4732663;Dim dim;MALE;Pequeno;7265593;2024-03-01;4.0;https://s3.amazonaws.com/petz-cdm-stg/57c521d6-43c0-4d1c-a4d2-bc59d76a6a4e.jpeg;Petz Santo André;SANTO ANDRE;SP;8;True;2024-11-16;1
4726234;Dragon Ice Tea;MALE;Pequeno;7257209;2024-04-05;4.0;https://s3.amazonaws.com/petz-cdm-stg/da3cd96d-39ab-460f-885d-14dfdb686819.jpeg;Petz Bandeirantes 24h;SAO PAULO;SP;7;True;2024-11-16;1
4731661;Elanor Brandyfoot ;FEMALE;Pequeno;7264327;2023-12-10;3.0;https://s3.amazonaws.com/petz-cdm-stg/583ee848-ffa0-4080-b96b-069d69154c6c.jpeg;Petz Augusta;SAO PAULO;SP;11;True;2024-11-16;1
4726303;Escolástica ;FEMALE;Pequeno;7257294;2023-11-01;0.4;https://s3.amazonaws.com/petz-cdm-stg/4484c0a1-8a20-4821-ab90-711a8dddd36c.jpeg;Petz Anália Franco;SAO PAULO;SP;12;False;2024-11-16;1
4731698;Escolástica;FEMALE;Pequeno;7264369;2023-11-01;4.0;https://s3.amazonaws.com/petz-cdm-stg/43195409-d17e-43a6-9698-4d3da23ed08e.jpeg;Petz Augusta;SAO PAULO;SP;12;False;2024-11-16;1
